Temperature, Density, Number of particles, Number of time steps, Step size
16,0.2,500,10000,0.005
Average potential energy, Pressure
-5.6888,7.7077
Radial Distribution Function
r, g(r)
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,0.0083925
0.36,0
0.38,0
0.4,0
0.42,0
0.44,0.0050118
0.46,0.0045856
0.48,0.0042114
0.5,0.0038813
0.52,0.017943
0.54,0.013311
0.56,0.015471
0.58,0.014423
0.6,0.021564
0.62,0.017671
0.64,0.016584
0.66,0.02896
0.68,0.033577
0.7,0.045549
0.72,0.035566
0.74,0.044302
0.76,0.047042
0.78,0.05104
0.8,0.042455
0.82,0.075046
0.84,0.060513
0.86,0.065604
0.88,0.083959
0.9,0.070685
0.92,0.085989
0.94,0.083468
0.96,0.11056
0.98,0.1061
1,0.11645
1.02,0.11286
1.04,0.11574
1.06,0.13128
1.08,0.12979
1.1,0.15078
1.12,0.14157
1.14,0.13292
1.16,0.14424
1.18,0.18609
1.2,0.14759
1.22,0.18126
1.24,0.18051
1.26,0.19988
1.28,0.18302
1.3,0.18031
1.32,0.20496
1.34,0.1951
1.36,0.21826
1.38,0.20893
1.4,0.21389
1.42,0.22957
1.44,0.24991
1.46,0.22126
1.48,0.22905
1.5,0.2493
1.52,0.2285
1.54,0.24511
1.56,0.25402
1.58,0.24063
1.6,0.25512
1.62,0.23703
1.64,0.26736
1.66,0.24229
1.68,0.25513
1.7,0.24211
1.72,0.26308
1.74,0.27534
1.76,0.24781
1.78,0.25973
1.8,0.24321
1.82,0.26192
1.84,0.25912
1.86,0.25723
1.88,0.24629
1.9,0.25995
1.92,0.26378
1.94,0.27513
1.96,0.25969
1.98,0.23764
2,0.24261
2.02,0.24116
2.04,0.23925
2.06,0.2511
2.08,0.25437
2.1,0.24074
2.12,0.24162
2.14,0.23861
2.16,0.23067
2.18,0.24116
2.2,0.23419
2.22,0.23865
2.24,0.22377
2.26,0.22059
2.28,0.22719
2.3,0.22876
2.32,0.21744
2.34,0.21392
2.36,0.20752
2.38,0.21707
2.4,0.2047
2.42,0.20415
2.44,0.2137
2.46,0.21056
2.48,0.19455
2.5,0.20154
2.52,0.19927
2.54,0.18276
2.56,0.19828
2.58,0.19886
2.6,0.19007
2.62,0.18577
2.64,0.19675
2.66,0.18598
2.68,0.1843
2.7,0.19169
2.72,0.18062
2.74,0.17321
2.76,0.1781
2.78,0.18685
2.8,0.18109
2.82,0.17231
2.84,0.17627
2.86,0.1801
2.88,0.17199
2.9,0.17401
2.92,0.16788
2.94,0.17481
2.96,0.1739
2.98,0.16971
3,0.16972
3.02,0.16993
3.04,0.174
3.06,0.16925
3.08,0.16941
3.1,0.16814
3.12,0.16509
3.14,0.17382
3.16,0.16492
3.18,0.17293
3.2,0.15846
3.22,0.16146
3.24,0.16686
